Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
45,20-07-2012,737613.65,0,78.89,3.567,191.1670428,8.684
45,27-07-2012,711671.58,0,77.2,3.647,191.1655664,8.684
45,03-08-2012,725729.51,0,76.58,3.654,191.16409,8.684
45,10-08-2012,733037.32,0,78.65,3.722,191.1626135,8.684
45,17-08-2012,722496.93,0,75.71,3.807,191.2284919,8.684
45,24-08-2012,718232.26,0,72.62,3.834,191.3448865,8.684
45,31-08-2012,734297.87,0,75.09,3.867,191.461281,8.684
45,07-09-2012,766512.66,1,75.7,3.911,191.5776756,8.684
45,14-09-2012,702238.27,0,67.87,3.948,191.69985,8.684
45,21-09-2012,723086.2,0,65.32,4.038,191.8567038,8.684
45,28-09-2012,713173.95,0,64.88,3.997,192.0135577,8.684
45,05-10-2012,733455.07,0,64.89,3.985,192.1704115,8.667
45,12-10-2012,734464.36,0,54.47,4,192.3272654,8.667
45,19-10-2012,718125.53,0,56.47,3.969,192.3308542,8.667
45,26-10-2012,760281.43,0,58.85,3.882,192.3088989,8.667